transaccion_id,fecha_hora,sucursal_id,producto_id,monto_total,tiempo_atencion_min
TXN-000001,2026-03-01 07:01:05,SUC-01,PROD-01,18.71,1.98
TXN-000002,2026-03-01 07:01:07,SUC-02,PROD-03,15.78,2.98
TXN-000003,2026-03-01 07:01:47,SUC-01,PROD-04,13.04,2.57
TXN-000004,2026-03-01 07:02:56,SUC-03,PROD-02,19.58,3.39
TXN-000005,2026-03-01 07:05:14,SUC-03,PROD-03,13.03,2.52
TXN-000006,2026-03-01 07:05:37,SUC-01,PROD-04,22.46,2.16
TXN-000007,2026-03-01 07:05:38,SUC-03,PROD-04,21.56,2.69
TXN-000008,2026-03-01 07:06:38,SUC-02,PROD-01,8.62,3.97
TXN-000009,2026-03-01 07:07:24,SUC-02,PROD-04,9.62,4.26
TXN-000010,2026-03-01 07:11:37,SUC-02,PROD-01,21.06,3.13
TXN-000011,2026-03-01 07:12:25,SUC-02,PROD-02,30.99,6.0
TXN-000012,2026-03-01 07:14:08,SUC-01,PROD-01,11.44,1.97
TXN-000013,2026-03-01 07:16:01,SUC-03,PROD-02,21.67,1.39
TXN-000014,2026-03-01 07:16:02,SUC-02,PROD-03,12.08,3.28
TXN-000015,2026-03-01 07:17:15,SUC-01,PROD-03,16.59,2.64
TXN-000016,2026-03-01 07:19:44,SUC-03,PROD-04,23.38,2.87
TXN-000017,2026-03-01 07:20:27,SUC-02,PROD-01,25.0,3.56
TXN-000018,2026-03-01 07:20:38,SUC-03,PROD-04,12.91,2.96
TXN-000019,2026-03-01 07:21:17,SUC-02,PROD-01,16.77,2.44
TXN-000020,2026-03-01 07:22:41,SUC-02,PROD-01,23.73,3.33
TXN-000021,2026-03-01 07:25:17,SUC-03,PROD-04,21.43,3.53
TXN-000022,2026-03-01 07:27:02,SUC-01,PROD-03,22.85,2.08
TXN-000023,2026-03-01 07:27:22,SUC-02,PROD-02,18.7,3.41
TXN-000024,2026-03-01 07:27:47,SUC-03,PROD-03,21.59,4.3
TXN-000025,2026-03-01 07:29:44,SUC-03,PROD-02,31.4,3.1
TXN-000026,2026-03-01 07:31:28,SUC-03,PROD-04,14.2,3.43
TXN-000027,2026-03-01 07:32:25,SUC-02,PROD-02,37.92,2.88
TXN-000028,2026-03-01 07:32:34,SUC-03,PROD-01,19.37,2.02
TXN-000029,2026-03-01 07:34:21,SUC-02,PROD-03,18.37,2.47
TXN-000030,2026-03-01 07:37:01,SUC-03,PROD-03,23.23,3.57
TXN-000031,2026-03-01 07:38:32,SUC-02,PROD-04,22.56,2.67
TXN-000032,2026-03-01 07:40:07,SUC-01,PROD-01,11.54,2.65
TXN-000033,2026-03-01 07:43:47,SUC-01,PROD-02,19.43,3.86
TXN-000034,2026-03-01 07:43:53,SUC-03,PROD-03,21.58,2.13
TXN-000035,2026-03-01 07:43:53,SUC-02,PROD-01,16.87,3.11
TXN-000036,2026-03-01 07:46:50,SUC-02,PROD-02,18.56,2.37
TXN-000037,2026-03-01 07:47:06,SUC-01,PROD-03,9.11,4.69
TXN-000038,2026-03-01 07:49:17,SUC-02,PROD-02,16.97,1.65
TXN-000039,2026-03-01 07:55:04,SUC-02,PROD-03,10.02,3.63
TXN-000040,2026-03-01 07:55:36,SUC-03,PROD-02,20.83,4.57
TXN-000041,2026-03-01 07:56:16,SUC-02,PROD-03,17.82,4.12
